0.85A 30-60m,,1.63A 30-60m,,2.94A 30-60m,,4.4A 30-60m,,12A 30-60m,,17A 30-60m,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
30.66413423255058,12.918344304688768,30.685576975163187,12.754768240845808,30.75152352319818,12.624237302946183,30.75152352319818,12.437957428270385,30.67505789388153,11.884544406028445,30.79521816852198,9.977156244934347
31.013691395140977,12.911375267213083,31.118073047858942,12.754835501431891,31.101080685788578,12.616712104499312,31.078658433582945,12.430922678972111,31.061660516637758,11.878792102165807,30.771810322812804,9.960002489405554
31.363248557731374,12.910739654674584,31.56424392622085,12.754092944561519,31.450637848378975,12.615508980765725,31.18904490597991,12.423601187175265,31.206042822925095,11.868338052464285,31.116937613527053,9.946590604557645
31.712805720321768,12.910489949748746,31.887584301616968,12.756524162521277,31.800195010969368,12.61503227136185,31.516179816364673,12.423837749736586,31.574959517812164,11.870558654447352,31.162690135695136,9.928907805154804
32.06236288291217,12.910489949748746,32.23714146420736,12.75519618632477,32.14975217355976,12.614339907703842,31.86573697895507,12.421249898686984,31.654026018874276,11.859143572123289,31.26103429813463,9.914134613157954
32.41192004550256,12.910410498181433,32.58669862679776,12.75403846348679,32.49930933615016,12.613602143150228,32.21529414154546,12.419093356145648,32.016327453017446,11.855697427951972,31.366307182904038,9.899938401685848
32.761477208092955,12.910001890120968,32.90633445617729,12.755116241269462,32.848866498740556,12.612535222103462,32.56485130413586,12.417288670545267,32.310329995124725,11.848054511468634,31.477084607390747,9.881743634343191
33.111034370683356,12.908776065939579,33.128949175266115,12.74894993110715,33.19842366133095,12.611343448593775,32.91440846672626,12.415722339646823,32.64818323486053,11.845161825834241,31.72036825508935,9.865556652680272
33.46059153327375,12.907606992877696,33.41908162021614,12.743087767466365,33.54798082392135,12.61002682262117,33.26396562931665,12.414019806061559,33.02770243995868,11.838447681958177,31.996820914926467,9.848971356277353
33.81014869586414,12.906517371383126,33.788301373202245,12.742188829733346,33.89753798651174,12.608188086349085,33.613522791907045,12.412589677849935,33.41013462141174,11.834895169974295,32.223596124156984,9.830493191765276
34.159705858454544,12.905927159740234,34.137858535792645,12.74466317854393,34.247095149102144,12.606190446942374,33.963079954497445,12.411386554116348,33.48920112247386,11.822961220271866,32.32750993521795,9.813191323184837
34.50926302104494,12.90564340414269,34.48741569838304,12.743153598764994,34.59665231169254,12.60397715328153,34.31263711708784,12.410387734412993,33.86278088227691,11.823774112497974,32.40372729950435,9.799121172900792
34.85882018363533,12.905949860188038,34.83697286097343,12.743369253019129,34.94620947428293,12.60179791029239,34.66219427967824,12.40947971650085,33.97598973607038,11.813042991718122,32.50340570914927,9.781301321375018
35.20837734622573,12.905949860188038,35.18653002356383,12.744606427424422,35.29576663687333,12.599720819318367,35.01175144226863,12.408639799932121,34.338758915922725,11.812230441301882,32.59248174162003,9.760714685858131
35.557934508816125,12.905949860188038,35.53608718615423,12.745525795560464,35.645323799463725,12.597325922075093,35.361308604859026,12.40831064343897,34.48314122221006,11.801428976051366,32.74275093152561,9.745061677917235
35.907491671406525,12.905949860188038,35.88564434874462,12.744651828320029,35.994880962054125,12.595464485355205,35.71086576744943,12.407618279780962,34.834632076402514,11.796689235347243,32.88013077082569,9.729559173090143
36.25704883399692,12.905825007725118,36.23520151133502,12.74209802794213,36.34443812464452,12.593818702889449,36.06042293003982,12.407448026422434,35.10148151748715,11.7880630651819,32.772400869423905,9.773106459717944
36.60660599658732,12.90583635794902,36.584758673925414,12.73971448092276,36.69399528723491,12.592433975573432,36.40998009263022,12.406823764107838,35.44586583516157,11.785556647484736,33.13816733592475,9.716539872881576
36.95616315917771,12.905949860188038,36.93431583651581,12.73843190562186,37.04355244982531,12.591219501615944,36.759537255220614,12.406233552464947,35.691850505132585,11.775171612993281,33.21298854310555,9.69748672799481
37.305720321768106,12.906006611307546,37.28387299910621,12.738204901143824,37.39310961241571,12.589959626762846,37.10909441781101,12.405790893732778,36.061515296172914,11.77352440124007,33.333148817746,9.68257707387745
37.65527748435851,12.905938509964136,37.6334301616966,12.737637389948736,37.7426667750061,12.58850679810342,37.45865158040141,12.40515528119428,36.49846174941091,11.763590685281246,33.15472901600715,9.735332914572863
38.0048346469489,12.905291547201735,37.982987324287,12.736014307930784,38.0922239375965,12.587235573026422,37.8082087429918,12.404462917536272,36.54007096848062,11.74964683203407,33.412446507407715,9.66571820797536
38.354391809539294,12.903861418990113,38.332544486877396,12.73380101426994,38.441781100186894,12.586418356905495,38.157765905582195,12.403588950295834,36.819773444845566,11.740101559062595,33.461956990940116,9.647391379781972
38.67415716849983,12.904662125694456,38.682101649467796,12.73258654031245,38.79133826277729,12.585987048397229,38.507323068172596,12.402442577681756,37.18674098348776,11.733610387924802,33.70505554030087,9.63444899343771
38.86482471173095,12.89888382988992,39.03165881205818,12.732211982923692,39.14089542536768,12.585521689217256,38.85688023076298,12.401091901037447,37.39379234124889,11.72231446104008,33.71547696432925,9.656638028853946
39.184590070691485,12.898912721368943,39.38121597464858,12.732416286953924,39.490452587958075,12.585237933619712,39.20643739335338,12.39926451498926,37.75359043633705,11.714668881430613,33.94903524707193,9.602282347075237
39.51715487121152,12.899210349462367,39.73077313723898,12.732507088745137,39.840009750548475,12.584999578917776,39.55599455594378,12.397493880060585,37.96182273045828,11.703870347199707,33.97504396452658,9.621095613435841
39.906126648077915,12.898886436639907,40.08033029982937,12.731962277997853,40.189566913138876,12.58438666682708,39.90555171853418,12.395223835280232,38.32162082554645,11.695506951915,34.275184563953154,9.600790603362434
40.23326155846267,12.897652846515847,40.42988746241977,12.73117911254863,40.53912407572927,12.584159662349045,40.25510888112457,12.392749486469647,38.52985311966768,11.684938173731561,,
40.58281872105307,12.898526813756282,40.77944462501017,12.729783035008714,40.88868123831967,12.583421897795429,40.60466604371497,12.390831298630248,38.886920299423096,11.677378924612984,,
40.93237588364347,12.898492763084578,41.129001787600565,12.728035100527842,41.23823840091006,12.583115441750081,40.95422320630537,12.388958511686457,39.06734277240596,11.666711227508511,,
41.28193304623386,12.898356560397756,41.47855895019096,12.726786575898647,41.58779556350046,12.582366326972565,41.303780368895765,12.38736948034021,39.41984843545316,11.654466421406799,,
41.63149020882426,12.898492763084578,41.82811611278136,12.726150963360148,41.93735272609086,12.581458309060423,41.65333753148616,12.385746398322256,39.78763219493597,11.648726885045575,,
41.98104737141466,12.89832250972605,42.16298283427151,12.725229246901918,42.28690988868125,12.580425438685364,42.00289469407656,12.383998463841385,39.961676737096646,11.634342789447796,,
42.330604534005055,12.89832250972605,42.476378911076694,12.721522028943383,42.63646705127165,12.578779656219607,42.35245185666695,12.38269318809268,40.31026004930766,11.623266040074487,,
42.68016169659545,12.89832250972605,42.811245632566845,12.719034372973741,42.986024213862045,12.576918219499717,42.702009019257346,12.381739769284934,40.67900022691826,11.609366721985221,,
43.02971885918584,12.898401961293363,43.16080279515724,12.717286438492868,43.33558137645244,12.575056782779827,43.05156618184775,12.380786350477184,41.03839965538504,11.5961286806423,,
43.37927602177624,12.898504113308478,43.51035995774764,12.716775678417289,43.68513853904284,12.573002392253608,43.40112334443814,12.379901033012848,41.33950369378887,11.581279339701997,,
43.728833184366636,12.89812955591972,43.85991712033804,12.717365890060181,44.03469570163323,12.571084204414209,43.750680507028534,12.379004365324608,41.63331081904609,11.576823507659263,,
44.078390346957036,12.89843601196507,44.209474282928426,12.71780854879235,44.384252864223626,12.568734708066543,44.100237669618934,12.378277950994894,41.7527428495978,11.564898205746474,,
44.42794750954742,12.898027403904605,44.559031445518826,12.717025383343127,44.73381002681403,12.566612216196912,44.44979483220933,12.377301831739342,42.00815423471738,11.552861923866645,,
44.748895082937715,12.898901911631894,44.88633670539803,12.716093403847193,45.08336718940442,12.565102636417977,44.79935199479972,12.376110058229656,42.226222881287086,11.538828002580106,,
44.91535087464743,12.892381478243754,45.17116106010131,12.711909795392735,45.432924351994814,12.56383141134098,45.14890915739012,12.374486976211704,42.43984114731455,11.544467802723293,,
45.208770821483725,12.894029401037447,45.498466319980515,12.710374152136692,45.782481514585214,12.562582886711786,45.498466319980515,12.372557438148403,42.55944123419444,11.525553091138072,,
45.46045197854881,12.889380349327283,45.84802348257091,12.709102927059694,46.13203867717561,12.56144786432161,45.84802348257091,12.370400895607068,42.892435007323904,11.511887138394677,,
45.782481514585214,12.888856422991976,46.19758064516131,12.70875107011874,46.481595839766,12.560131238349005,46.17885436859396,12.368545944729409,43.24118973879782,11.499066907116227,,
46.13203867717561,12.888141358886166,46.5471378077517,12.708274360714865,46.8311530023564,12.558712460361283,46.47847479367145,12.364420949071395,43.60375726212726,11.485292275389043,,
46.481595839766,12.888584017618335,46.8966949703421,12.706787481383735,47.180710164946795,12.557600138418909,46.8093056796945,12.362353586860715,43.93513433121686,11.471162219507676,,
46.8311530023564,12.889060727022208,47.2462521329325,12.704880643768238,47.53026732753719,12.556885074313099,47.1588628422849,12.35981113670672,44.21020252701716,11.455360978278488,,
47.180710164946795,12.889060727022208,47.59580929552289,12.70381372272147,47.87982449012759,12.556192710655091,47.50842000487529,12.35742758968735,44.45542217289497,11.440172315020853,,
47.53026732753719,12.889060727022208,47.945366458113284,12.703643469362945,48.22938165271799,12.555364144310262,47.85797716746569,12.35499864177237,44.669724547005785,11.428035692575783,,
47.87982449012759,12.889060727022208,48.294923620703685,12.704086128095113,48.578938815308376,12.554546928189335,48.207534330056085,12.353148555276382,44.92726454522342,11.414673964907784,,
48.22938165271799,12.889060727022208,48.644480783294085,12.703881824064881,48.92849597789878,12.55336650490355,48.55709149264648,12.351718427064759,45.20830656587716,11.40010430491672,,
48.578938815308376,12.888958575007093,48.99403794588447,12.703246211526382,49.27805314048918,12.551959077139731,48.90664865523688,12.350379100644352,45.454043430567985,11.386751144837088,,
48.92849597789878,12.888515916274924,49.34359510847487,12.702372244285947,49.62761030307957,12.549950087509119,49.25620581782727,12.34915327646296,45.656294392313896,11.371443424016634,,
49.27805314048918,12.888856422991976,49.69315227106527,12.70123722189577,49.97716746566997,12.547396287131221,49.605762980417666,12.347893401609864,45.75375633108531,11.356891480250717,,
49.62761030307957,12.889333132395851,50.04270943365567,12.699965996818772,50.326724628260365,12.544910588096734,49.955320143008066,12.346122766681189,45.98274863898596,11.344655434430216,,
49.97716746566997,12.888913174111487,50.39226659624607,12.699205531817354,50.66608637360854,12.542524771032584,50.30487730559847,12.344420233095924,46.29285924677015,11.330579138974443,,
50.326724628260365,12.886847433361364,50.74182375883646,12.698626670398363,50.99233972535957,12.53903798224996,50.65443446818887,12.342172888763374,46.54131185504187,11.314569774274599,,
50.676281790850766,12.884577388581011,51.09138092142686,12.697321394649661,51.33170147070775,12.536738426887462,51.00399163077926,12.339846092863512,46.621262652497435,11.298407920217446,,
51.02583895344116,12.883079159025977,51.43074266677503,12.695083887177825,51.68125863329814,12.534718087032948,51.353548793369654,12.337042587559775,46.890140773543536,11.287547161209272,,
51.37539611603155,12.882704601637219,51.75699601852607,12.691730274355649,52.03081579588854,12.533015553447683,51.70310595596005,12.333648870613146,47.20680557812629,11.273666594059005,,
51.724953278621946,12.882704601637219,52.09635776387424,12.690499910084698,52.380372958478944,12.531244918519008,52.05266311855044,12.33110642045915,47.4583218339437,11.258874251681098,,
52.07451044121234,12.882704601637219,52.44591492646464,12.690386407845681,52.729930121069344,12.529428882694724,52.39202486389863,12.329104240962879,47.56303831153004,11.242097837980223,,
52.42406760380274,12.882704601637219,52.79547208905504,12.69070421411493,53.07948728365974,12.528293860304547,52.718278215649654,12.32604119387259,47.79534817583491,11.229191876722322,,
52.77362476639314,12.882704601637219,53.14502925164544,12.69109012172759,53.42904444625013,12.527567445974835,53.05763996099783,12.324171433655172,48.088659192042805,11.215455524181628,,
53.123181928983534,12.882704601637219,53.49458641423583,12.690431808741288,53.77860160884053,12.527011285003647,53.40719712358823,12.322434849398201,48.319683919720504,11.198827757740315,,
53.47273909157393,12.882545698502595,53.829453135725984,12.688833384106294,54.128158771430925,12.526330271569542,53.756754286178634,12.321106873201694,48.42180614847087,11.183761179501726,,
53.82229625416433,12.881717132157766,54.14284921253117,12.684687812672932,54.47771593402132,12.525592507015928,54.10631144876902,12.319869698796403,48.63628803729587,11.169479105456718,,
54.17185341675473,12.880321054617848,54.47771593402132,12.682452601338346,54.82727309661172,12.524877442910116,54.45586861135942,12.318348768793564,48.848669222018756,11.156688276213574,,
54.521410579345115,12.878822825062816,54.82727309661172,12.681499182530597,55.17683025920211,12.523958074774072,54.80542577394982,12.316691636103908,49.133997356687274,11.14276067839196,,
54.870967741935516,12.87834611565894,55.17683025920211,12.681487832306695,55.526387421792506,12.52291385417511,55.154982936540215,12.314569144234277,49.217192741645306,11.125326734478845,,
55.22052490452592,12.87834611565894,55.526387421792506,12.681487832306695,55.87594458438291,12.521597228202506,55.499254456551114,12.312428345551902,49.45064698951818,11.112432880126438,,
55.57008206711631,12.878391516554547,55.87594458438291,12.681170026037446,56.2255017469733,12.519667690139205,55.83753558163859,12.309229779229133,49.602121759974025,11.097698776138758,,
55.9196392297067,12.878459617897958,56.2255017469733,12.680114455214582,56.575058909563694,12.517681400956395,56.1526773381003,12.306990978075863,49.824673153489904,11.085882436375424,,
56.269196392297104,12.87834611565894,56.575058909563694,12.679058884391717,56.924616072154095,12.51507084945899,56.38571544649389,12.301542870603015,50.10593426135904,11.071142829248883,,
56.6187535548875,12.87834611565894,56.924616072154095,12.677594705508389,57.27417323474449,12.511938187662102,56.68389094282389,12.301230108877723,50.21321353877789,11.056364748003693,,
56.96831071747789,12.878323415211137,57.27417323474449,12.67599432393824,57.61353498009266,12.509254994731723,56.96871529752718,12.296831266547793,50.35774782644025,11.04141135111039,,
57.317867880068285,12.87834611565894,57.62373039733488,12.674813900652456,57.9397883318437,12.506191947641433,57.29602055740639,12.294933256884221,50.34180968438405,11.023850976512747,,
57.66742504265868,12.878754723719405,57.973287559925275,12.673826431173003,58.27915007719187,12.504004381154767,57.64557771999678,12.292844815686294,50.463270394897236,11.011234283818284,,
58.01698220524908,12.878505018793566,58.32284472251567,12.672963814156468,58.62870723978227,12.501257626970538,57.99513488258718,12.29108553098152,50.72640211931041,10.991313973210454,,
58.36653936783947,12.876847886103908,58.67240188510607,12.672214699378952,58.978264402372666,12.500156655252068,58.344692045177574,12.288599831947034,51.098559327444335,10.96880520112081,,
58.716096530429866,12.874498389756242,59.02195904769647,12.671896893109702,59.21858495165356,12.50088306958178,58.69424920776797,12.285580672389164,51.185721632921414,10.950723144682355,,
59.065653693020266,12.872977459753406,59.251355935646416,12.672117087453397,,,59.01103538636551,12.284656065688244,51.37102665149918,10.935720487518235,,
,,,,,,,,51.63210215730887,10.923497053057627,,
,,,,,,,,51.81015783700336,10.908056208461662,,
,,,,,,,,51.89545738374417,10.89344264714174,,
,,,,,,,,52.04945027698251,10.875119728147379,,
,,,,,,,,52.22541879959917,10.85927076016282,,
,,,,,,,,52.350029454781854,10.844002607121629,,
,,,,,,,,52.53498478039393,10.830653967729464,,
,,,,,,,,52.68667242219877,10.816440833198248,,
,,,,,,,,52.78363812261317,10.801603215168583,,
,,,,,,,,52.85207651595177,10.788154919575884,,
,,,,,,,,52.931780384793406,10.77367903243426,,
,,,,,,,,52.993008298123044,10.757715682748419,,
,,,,,,,,53.12925062972295,10.745021928639613,,
,,,,,,,,53.29231034062478,10.73083365590466,,
,,,,,,,,53.49270302435119,10.716668576475257,,
,,,,,,,,53.62398978692555,10.70056992468546,,
,,,,,,,,53.71642076741819,10.68384842559572,,
,,,,,,,,53.82481709908684,10.667266621569384,,
,,,,,,,,53.866983959609115,10.652034779837603,,
,,,,,,,,53.99139453156742,10.638701775004051,,
,,,,,,,,54.10590686871973,10.623428241115974,,
,,,,,,,,54.24909930759501,10.608015958247456,,
,,,,,,,,54.37520157383855,10.591970982393356,,
,,,,,,,,54.46679227269037,10.57717145455098,,
,,,,,,,,54.55327125822705,10.562537232533636,,
,,,,,,,,54.61244109043636,10.547070660763493,,
,,,,,,,,54.684355194198446,10.53101387735046,,
,,,,,,,,54.71694411716912,10.515683508267141,,
,,,,,,,,54.82299862043874,10.504163524494842,,
,,,,,,,,54.92908162021617,10.48985947884584,,
,,,,,,,,55.01297533923787,10.475200437672232,,
,,,,,,,,55.18931444358034,10.461332150383251,,
,,,,,,,,55.29132641315243,10.445201140109146,,
,,,,,,,,55.38088425286425,10.430656710974224,,
,,,,,,,,55.516337653368026,10.415794273788295,,
,,,,,,,,55.54605001218822,10.40029259199222,,
,,,,,,,,55.6238600921302,10.38522228855194,,
,,,,,,,,55.674276990580765,10.36917132576655,,
,,,,,,,,55.823006841009835,10.353944563855254,,
,,,,,,,,55.89545112247388,10.33690775305097,,
,,,,,,,,56.01627161840356,10.32178676025911,,
,,,,,,,,56.13720215121477,10.308095479919759,,
,,,,,,,,56.25132131011918,10.293730911706625,,
,,,,,,,,56.32036512168944,10.277562979370536,,
,,,,,,,,56.36646899557746,10.262432988676098,,
,,,,,,,,56.417029942309284,10.244065083481924,,
,,,,,,,,56.46625924270743,10.225735228562165,,
,,,,,,,,56.53136426423988,10.210952696952504,,
,,,,,,,,56.62631608965507,10.196647922459691,,
,,,,,,,,56.75420695539126,10.180189050089155,,
,,,,,,,,56.87664695065732,10.16647561087344,,
,,,,,,,,57.02380291703911,10.15143757091911,,
,,,,,,,,57.080871923366374,10.136282041342758,,
,,,,,,,,57.09830228731619,10.120822838993353,,
,,,,,,,,57.14025723842803,10.105050904162388,,
,,,,,,,,57.23091553587392,10.090781974388069,,
,,,,,,,,57.27308086861139,10.07558538661047,,
,,,,,,,,57.36104235104299,10.06112974144918,,
,,,,,,,,57.3758473132864,10.04377961457411,,
,,,,,,,,57.41774135509411,10.028181662922908,,
,,,,,,,,57.57925549048744,10.016092053006968,,
,,,,,,,,57.530619188847254,9.997810625709189,,
,,,,,,,,57.60982755564095,9.985549632325851,,
,,,,,,,,57.948783130453144,9.971280141991562,,
,,,,,,,,58.03773716177788,9.953838344950558,,
,,,,,,,,58.165231894740536,9.937509588553365,,
,,,,,,,,58.18083712521332,9.920052432152271,,
,,,,,,,,58.23909665231173,9.906178646689668,,
,,,,,,,,58.276965344925685,9.892183928716161,,
,,,,,,,,58.351519333509415,9.87934455543848,,
,,,,,,,,59.098424677013114,9.750503798458794,,
,,,,,,,,59.098424677013114,9.736701926194245,,
,,,,,,,,59.098424677013114,9.723011809980422,,
,,,,,,,,59.11859143639333,9.708287950297391,,
,,,,,,,,59.148673519135485,9.690948999027393,,
,,,,,,,,59.16214603477699,9.671136048184469,,
,,,,,,,,59.16153916470304,9.652319899227319,,
,,,,,,,,59.20766129032261,9.638477670611119,,
